payout_provider,payout_amount,payout_currency,timestamp
Amazon.de,1.0,EUR,2024-06-17T09:47:05.518618+00:00
PayPal,20.0,EUR,2024-06-17T09:47:05.546425+00:00
PayPal,50.0,EUR,2024-06-17T09:47:05.572770+00:00
PayPal,5.0,GBP,2024-06-17T09:47:05.597053+00:00
Esselunga IT,10.0,EUR,2024-06-17T09:47:05.623858+00:00
Amazon.it,2.0,EUR,2024-06-17T09:47:05.648854+00:00
PayPal,5.0,EUR,2024-06-17T09:47:05.673771+00:00
PayPal International,5.0,EUR,2024-06-17T09:47:05.697239+00:00
PayPal,20.0,EUR,2024-06-17T09:47:05.722958+00:00
PayPal,20.0,EUR,2024-06-17T09:47:09.332642+00:00
PayPal,5.0,EUR,2024-06-17T09:47:09.358148+00:00
Amazon.co.uk,10.0,GBP,2024-06-17T09:47:09.384031+00:00
PayPal,5.0,GBP,2024-06-17T09:47:09.408510+00:00
PayPal,5.0,GBP,2024-06-17T09:47:09.433660+00:00
Sainsbury's,50.0,GBP,2024-06-17T09:47:09.460141+00:00
PayPal,10.0,EUR,2024-06-17T09:47:09.488115+00:00
PayPal International,5.0,EUR,2024-06-17T09:47:09.513937+00:00
PayPal,5.0,GBP,2024-06-17T09:47:09.537187+00:00
PayPal,10.0,GBP,2024-06-17T09:47:09.564281+00:00
PayPal,5.0,GBP,2024-06-17T09:47:09.587671+00:00
Virtual Visa International,1.0,USD,2024-06-17T09:47:09.611388+00:00
ACH,5.0,USD,2024-06-17T09:47:09.636872+00:00
Venmo,100.0,USD,2024-06-17T09:47:09.660096+00:00
PayPal,5.0,USD,2024-06-17T09:47:09.683320+00:00
Amazon.de,1.0,EUR,2024-06-17T09:47:09.708434+00:00
PayPal,20.0,EUR,2024-06-17T09:47:09.733077+00:00
PayPal,50.0,EUR,2024-06-17T09:47:09.759883+00:00
PayPal,5.0,GBP,2024-06-17T09:47:09.782024+00:00
Esselunga IT,10.0,EUR,2024-06-17T09:47:09.805791+00:00
PayPal,5.0,USD,2024-06-17T09:47:13.072376+00:00
Amazon.it,1.0,EUR,2024-06-17T09:47:13.101597+00:00
PayPal,20.0,AUD,2024-06-17T09:47:13.127623+00:00
PayPal,10.0,EUR,2024-06-17T09:47:13.155170+00:00
PayPal,50.0,GBP,2024-06-17T09:47:13.183193+00:00
Virtual Visa,10.0,USD,2024-06-17T09:47:13.210796+00:00
PayPal,5.0,GBP,2024-06-17T09:47:13.235752+00:00
PayPal,20.0,EUR,2024-06-17T09:47:13.261857+00:00
PayPal,5.0,EUR,2024-06-17T09:47:13.284600+00:00
Amazon.co.uk,10.0,GBP,2024-06-17T09:47:13.309420+00:00
PayPal,5.0,GBP,2024-06-17T09:47:13.334267+00:00
PayPal,5.0,GBP,2024-06-17T09:47:13.359243+00:00
Sainsbury's,50.0,GBP,2024-06-17T09:47:13.391317+00:00
PayPal,10.0,EUR,2024-06-17T09:47:13.417999+00:00
PayPal International,5.0,EUR,2024-06-17T09:47:13.442240+00:00
PayPal,5.0,GBP,2024-06-17T09:47:13.469380+00:00
